search URL:,https://patents.google.com/?q=Kunststofftechnik+Gmbh&assignee=Elkamet&country=US&after=publication:19990101&status=GRANT&clustered=true,,,,,,,,,
id,title,bevnov19,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5921663-A,"Lampshade for an outdoor light, in particular a pole-mounted light ",Y,Elkamet Kunststofftechnik Gmbh,Eberhard Flammer,19/04/1996,21/04/1997,13/07/1999,13/07/1999,https://patents.google.com/patent/US5921663A/en,https://patentimages.storage.googleapis.com/2c/ee/50/d2e4a315b53eb7/US5921663-drawings-page-2.png
US-6769700-B2,Sealing system for vehicle window panes ,Y,Elkamet Kunststofftechnik Gmbh,"Michael Ortm체ller, G체nter Gr체ndel",12/05/2000,09/05/2001,03/08/2004,03/08/2004,https://patents.google.com/patent/US6769700B2/en,https://patentimages.storage.googleapis.com/29/1e/62/081c815a3c4de7/US06769700-20040803-D00000.png
US-8444205-B2,Molded component and sealing system for a motor vehicle window ,Y,Elkamet Kunststofftechnik Gmbh,"Eberhard Flammer, Wolfgang Platt",09/12/2008,23/07/2009,21/05/2013,21/05/2013,https://patents.google.com/patent/US8444205B2/en,https://patentimages.storage.googleapis.com/34/7c/92/01d85786f4ed21/US08444205-20130521-D00000.png
US-8628137-B2,Profile element connecting a vehicle pane to a water draining chamber ,Y,Elkamet Kunststofftechnik,"Wolfgang Platt, Michael Ortm체ller, Daniel Weller",23/05/2008,30/04/2009,14/01/2014,14/01/2014,https://patents.google.com/patent/US8628137B2/en,https://patentimages.storage.googleapis.com/88/7c/45/4b6593b37cefa7/US08628137-20140114-D00000.png
US-8768153-B2,Heatable liquid container made from plastic material and production method therefor ,Y,Elkamet Kunstsofftechnik GmbH,"Volker Bier, Thomas Prinz",11/09/2009,09/09/2010,01/07/2014,01/07/2014,https://patents.google.com/patent/US8768153B2/en,https://patentimages.storage.googleapis.com/8d/23/16/d7814e875600dc/US08768153-20140701-D00000.png
US-8991893-B2,Profile element connecting a vehicle pane to a water draining chamber,Y,Elkamet쟇unststofftechnik GmbH,,,,,31/03/2015,,
US-9073421-B2,Molding element for joining a part to a fixed window pane of a vehicle,Y,Elkamet Kunststofftechnik GmbH,,,,,07/07/2015,,
US-9186984-B2,Cover with filler neck ,Y,Elkamet Kunststofftechnik Gmbh,"Steffen Balzer, Arnd Wagner",19/12/2012,18/12/2013,17/11/2015,17/11/2015,https://patents.google.com/patent/US9186984B2/en,https://patentimages.storage.googleapis.com/e7/1c/f5/a75ac4eaed2fab/US09186984-20151117-D00000.png
US-9399393-B2,Molding element for joining a part to a fixed window pane of a vehicle ,Y,Elkamet Kunststofftechnik Gmbh,"Martin Deussen, Lutz Bergmann, Wolfgang Platt, Michael Ortmueller, Hartmut Roth",23/12/2011,26/05/2015,26/07/2016,26/07/2016,https://patents.google.com/patent/US9399393B2/en,https://patentimages.storage.googleapis.com/47/df/97/79c862f323bfc0/US09399393-20160726-D00000.png
US-9994094-B2,Profile element for connecting a vehicle window pane to a cover part and profile element assembly ,Y,Elkamet Kunstsofftechnik GmbH,Michael Ortmueller,19/03/2013,06/03/2014,12/06/2018,12/06/2018,https://patents.google.com/patent/US9994094B2/en,https://patentimages.storage.googleapis.com/75/34/d4/baa0790b846501/US09994094-20180612-D00000.png
US-10215337-B2,Pressure vessel and method for the production of such a vessel ,Y,Elkamet Kunststofftechnik Gmbh,Eberhard Flammer,16/07/2012,10/07/2013,26/02/2019,26/02/2019,https://patents.google.com/patent/US10215337B2/en,https://patentimages.storage.googleapis.com/4c/8a/05/07e70327f1dc01/US10215337-20190226-D00000.png
US-10315342-B2,Plastic molded part and method for its production ,Y,Elkamet Kunststofftechnik Gmbh,Marco EMRICH,19/05/2014,19/05/2015,11/06/2019,11/06/2019,https://patents.google.com/patent/US10315342B2/en,https://patentimages.storage.googleapis.com/bb/ac/48/df6396c945ab25/US10315342-20190611-D00000.png
US-10414259-B2,"Profiled strip, system and method for producing a profiled strip ",Y,Elkamet Kunststofftechnik Gmbh,"Michael Ortmueller, David Landeck",09/06/2015,09/05/2016,17/09/2019,17/09/2019,https://patents.google.com/patent/US10414259B2/en,https://patentimages.storage.googleapis.com/36/c6/4b/3f66a133c6f93c/US10414259-20190917-D00000.png
US-10525808-B2,Profile strip arrangement ,N,Elkamet Kunststofftechnik Gmbh,Andreas Schoch,16/03/2016,07/03/2017,07/01/2020,07/01/2020,https://patents.google.com/patent/US10525808B2/en,https://patentimages.storage.googleapis.com/c9/9a/94/96c4aad1d387bb/US10525808-20200107-D00000.png
US-10645764-B2,Heatable container for liquid ,N,Elkamet Kunststofftechnik Gmbh,"Martin Deussen, Marco EMRICH",20/03/2015,14/03/2016,05/05/2020,05/05/2020,https://patents.google.com/patent/US10645764B2/en,https://patentimages.storage.googleapis.com/3d/ee/1c/f4194dd247ea50/US10645764-20200505-D00000.png
US-10751919-B2,Plastic molded part and method for producing the same ,N,Elkamet Kunststofftechnik Gmbh,"Marco EMRICH, Martin Deussen",15/08/2014,29/07/2015,25/08/2020,25/08/2020,https://patents.google.com/patent/US10751919B2/en,https://patentimages.storage.googleapis.com/7e/63/08/dfc425d67a960f/US10751919-20200825-D00000.png
US-10752100-B2,Profile strip arrangement ,N,Elkamet Kunststofftechnik Gmbh,"Andreas Schoch, Michael Ortmueller, Martin Deussen",16/03/2016,15/03/2017,25/08/2020,25/08/2020,https://patents.google.com/patent/US10752100B2/en,https://patentimages.storage.googleapis.com/0c/f8/70/f21c2755913753/US10752100-20200825-D00000.png
US-11034224-B2,"Profile strip arrangement, mounting assembly, motor vehicle assembly and method for mounting a motor vehicle assembly ",N,Elkamet Kunststofftechnik Gmbh,"Lutz Bergmann, Carsten Burk, Christoph Hain, Marco Hain, David Landeck, Jens LOEHNERT, Michael Ortmueller, Hartmut Roth, Marcus Schneider",24/05/2016,16/05/2017,15/06/2021,15/06/2021,https://patents.google.com/patent/US11034224B2/en,https://patentimages.storage.googleapis.com/8b/ba/ec/f0d9ada177c86d/US11034224-20210615-D00000.png
