"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations
1,US,B2,US 8628137 B2,151-964-443-163-91X,2014-01-14,2014,US 99387609 A,2009-04-30,DE 202008006986 U;;EP 2009003143 W,2008-05-23,Profile element connecting a vehicle pane to a water draining chamber,"A profile element for connecting a vehicle pane to a water draining chamber includes a first segment affixable to the vehicle pane. A second segment has, at an upper portion, a bearing rib having at least one seal configured to be disposed at a lower edge of the vehicle pane and, at a lower portion, a snap-in recess configured to receive rib of the water draining chamber through an engagement aperture which is delimited in the insertion direction by a lower-most surface of the bearing rib and an upper-most surface of the resilient leg. A detent element is disposed in the snap-in recess so as to facilitate inserting the rib of the water draining chamber in an insertion direction into the snap-in recess and present a larger resistance to extracting the rib from the snap-in recess in an extraction direction opposite the insertion direction.",PLATT WOLFGANG;;ORTMUELLER MICHAEL;;WELLER DANIEL;;ELKAMET KUNSTSTOFFTECHNIK,PLATT WOLFGANG;;ORTMUELLER MICHAEL;;WELLER DANIEL,ELKAMET KUNSTSTOFFTECHNIK (2010-11-15),https://lens.org/151-964-443-163-91X,Granted Patent,yes,19,18,29,29,0,B60J10/265;;B60J10/30;;B60J10/32;;B60J10/70;;B60J10/265;;B60J10/30;;B60J10/70;;B60J10/32,B60J1/00,296/93;;296/84.1,4,0,,,"European Paten Office, International Search Report in International Patent Application No. PCT/DE2009/001028 (Dec. 14, 2009).;;Price Quotation 3371-B by Creative Extruded Products to Pilkington NA, Northwood, OH, ""GMX511/521 AIP Retainer with in line 2D roll bend,"" pp. 1-4 (Sep. 26, 2007).;;Price Quotation 3417 GMX511/521 AIP by Creative Extruded Products to Plikington NA, Northwood, OH, ""GMX511/521 AIP Moldings,"" pp. 1-4 (Jan. 11, 2008).;;Price Quotation 3288 by Creative Extruded Products to Saint Gobain, Shelby Twp, MI 48315, ""GMX511/521 Lower Molding,"" pp. 1-9 (Oct. 6, 2006)."
2,US,B2,US 9259994 B2,177-979-101-144-933,2016-02-16,2016,US 201214360435 A,2012-11-26,GB 201120340 A;;GB 2012052919 W,2011-11-25,Automotive glazing,"An elongate glazing component such as a water-tray mounting profile is attached to an automotive glazing adjacent an edge thereof to extend along at least part of the edge. At least one small, generally flat reinforcing member is bonded by adhesive to the inner face of the glazing adjacent the glazing component, each reinforcing member having a contact area for bonding to the inner face of the glazing, and a flange which extends over part of the elongate glazing component and is in contact with it. The flange may be generally parallel to the inner face of the glazing. Preferably the adhesive is cured by ultraviolet light and shrinks on curing. This property may be used to compress an attachment limb of the water-tray mounting profile, thereby holding it more securely. The arrangement may be used to attach a water-tray to a vehicle windscreen without support from the vehicle bodywork.",PILKINGTON GROUP LTD,ERNER WOLFGANG,PILKINGTON GROUP LIMITED (2014-05-30),https://lens.org/177-979-101-144-933,Granted Patent,yes,70,11,8,8,0,B60J1/02;;B60J10/34;;Y10T428/24777;;B60J1/004;;B60J1/006;;B60J1/02;;B60J10/34;;Y10T428/24777,B60J1/02;;B60J1/00;;B60J10/00,,8,0,,,"International Search Report (PCT/ISA/210) mailed on Jan. 2, 2013, by the European Patent Office as the International Searching Authority for International Application No. PCT/GB2012/052919.;;UK Search Report Under Section 17 dated Sep. 7, 2007 issued in the Great Britain Patent Application No. GB0709316.4. (1 pg).;;UK Search Report Under Section 17 dated Jul. 11, 2008 issued in the Great Britain Patent Application No. GB0804595.7. (1 pg).;;International Search Report (PCT/IB/304) issued Jan. 12, 2009 in the International Application No. PCT/EP2008/055933. (8 pgs).;;Japanese Office Action dated Oct. 23, 2012 issued in the Japanese Patent Application No. 2010-507917 and partial English-language summary. (7 pgs).;;Chinese Notification of the Second Office Action dated Oct. 19, 2012 issued in the Chinese Patent Application No. 200980108806.X and English language translation. (18 pgs).;;English language translation of Japanese Second Official Action dated Feb. 25, 2014 issued in Japanese Patent Application No. 2010-550199. (3 pgs).;;UK Search Report Under Section 17 dated Mar. 27, 2012 issued in corresponding Great Britain Patent Application No. GB1120340.3. (1 pg)."
3,US,A,US 5921663 A,158-045-537-411-467,1999-07-13,1999,US 84380397 A,1997-04-21,DE 29606988 U,1996-04-19,"Lampshade for an outdoor light, in particular a pole-mounted light","A street light, outdoor light or the like is mounted on a tubular pole or similar vertical holder and has a lamp socket and a bulb. A lampshade to be detachably connected to the lamp socket includes a plastic transparent bulb cover for surrounding the bulb at a given level. The bulb cover has a sharply offset zone with a cross-sectional enlargement at the given level, an upper end with a domelike bulge and a lower edge with one component of a bayonet mount for connection to the lamp socket. A sheet-metal shade ring disposed inside the bulb cover at the given level is nondisplaceably fixed in axial direction in the enlargement. A lamp canopy disposed above the bulb outside the bulb cover has a central opening through which the domelike bulge protrudes and beyond which the domelike bulge extends. A funnel-shaped metal heat shield body is disposed inside the domelike bulge and spaced apart from the bulb cover.",ELKAMET KUNSTSTOFFTECHNIK GMBH,FLAMMER EBERHARD,ELKAMET KUNSTSTOFFTECHNIK GMBH (1997-05-02),https://lens.org/158-045-537-411-467,Granted Patent,yes,4,21,9,9,0,F21S8/088;;F21V3/02;;F21V11/00;;F21V17/14;;F21V21/116;;F21V29/15,F21S8/00;;F21S8/08;;F21V3/02;;F21V11/00;;F21V11/16;;F21V17/14;;F21V21/10;;F21V21/116;;F21V29/00;;F21V29/15,362/294;;362/431;;362/363,0,0,,,
4,US,B2,US 8768153 B2,159-920-624-807-274,2014-07-01,2014,US 87822710 A,2010-09-09,DE 102009040930 A,2009-09-11,Heatable liquid container made from plastic material and production method therefor,"A heatable liquid container made from plastic material, particularly for holding water/urea mixtures and having an internal cavity and a heating element arranged essentially in the internal cavity of the container, and with at least one connection end, the heating element is braced by a bracing element in at least one bearing area in the internal cavity of the liquid container. The heating element is supported in a horizontally floating manner by the bracing element. The bracing element is an insert part that is at least partially encased in the plastic material by sintering and is made from the same material as the inner wall of the liquid container.",BIER VOLKER;;PRINZ THOMAS;;ELKAMET KUNSTSOFFTECHNIK GMBH,BIER VOLKER;;PRINZ THOMAS,ELKAMET KUNSTSTOFFTECHNIK GMBH (2010-09-03),https://lens.org/159-920-624-807-274,Granted Patent,yes,16,0,4,4,0,F01N3/2066;;F01N3/2066;;F01N2610/02;;F01N2610/02;;F01N2610/10;;F01N2610/10;;F01N2610/1406;;F01N2610/1406;;Y02T10/12;;Y02T10/12,A47J27/00,392/441,4,0,,,"DE1565683A; Buchholtz, Germany-1970.;;Crawford, Roy J. et al., ""Rotational Molding Technology"", 2002, 8 pages.;;""Resettable Fuse"", Wikipedia, en.wikipedia.org, Nov. 29, 2013, 3 pages.;;Writ of Opponent received in parallel opposition proceedings in Germany, DE 10 2009 040 930.0, mailed Jan. 29, 2014, 16 pages."
5,US,B2,US 6769700 B2,081-699-030-842-939,2004-08-03,2004,US 22114002 A,2002-09-10,DE 20008555 U;;EP 0105290 W,2000-05-12,Sealing system for vehicle window panes,"A sealing assembly for vehicle windscreens (10) comprises a profiled element (20) to be attached to a lower marginal area (12) of the windscreen. A spring member (25) serves for sealed locking engagement with a snapper fin (16) of a water box cover (14) and has a sealing lip (30), fitting between the bottom edge (13) of the windscreen and the upper edge (18) of the water box cover (14). The sealing lip 30 is substantially flush with external surfaces A and G and is bonded to, or integral with, an inclined surface (22) that projects outwardly from a supporting or wedge-shaped rib (21) and has a resiliently deformable, preferably wedge-shaped curved element which is clamped between, and supported by, the bottom edge (12) of the windscreen and the fin (16). The profiled element (20) and/or the sealing lip (30) can be composite elements which are soft on the outside and hard on the inside. Stiffeners 26 and 26' increase the elasticity. A bearing surface (23) of the profiled element (20) has staggered or vertically spaced contact regions (38) between which an adhesive layer 36 engages a surface section (33), for example, an adhesive tape (36) disposed flush in a recess (34) and perforated if desired.",ELKAMET KUNSTSTOFFTECHNIK GMBH,ORTMUELLER MICHAEL;;GRUENDEL GUENTER,ELKAMET KUNSTSTOFFTECHNIK GMBH (2002-08-08),https://lens.org/081-699-030-842-939,Granted Patent,yes,20,46,25,25,0,B60J10/70;;B60J10/18;;B60J10/265;;Y10S277/921,B60J1/02;;B60J10/18;;B60J10/265;;B60J10/70,277/642;;277/644;;277/650;;277/921;;296/93;;49/490.1,0,0,,,
6,US,B2,US 9186984 B2,123-155-478-806-529,2015-11-17,2015,US 201314132010 A,2013-12-18,DE 102012112666 A,2012-12-19,Cover with filler neck,A cover for a service fluid tank arrangement having a first service fluid tank and a second service fluid tank includes a housing having a housing wall through which a first opening and a second opening extend. The first opening is configured to be connected to a service fluid inlet of the first service fluid tank and the second opening is configured to be connected to a service fluid inlet of the second service fluid tank. At least one of the first opening and the second opening has a filler neck that extends from the housing wall in at least one direction and is configured as a connector for a service fluid line.,ELKAMET KUNSTSTOFFTECHNIK GMBH,BALZER STEFFEN;;WAGNER ARND,ELKAMET KUNSTSTOFFTECHNIK GMBH (2014-01-06),https://lens.org/123-155-478-806-529,Granted Patent,yes,18,3,3,3,0,B60K15/0406;;B60K15/03;;B60K15/03;;B60K15/04;;B60K15/04;;F01N3/2066;;F01N3/2066;;F02M37/0088;;F02M37/0088,B60K15/04;;B60K15/03;;F01N3/20;;F02M37/00,,0,0,,,
7,US,B2,US 9073421 B2,107-064-560-251-039,2015-07-07,2015,US 201214363319 A,2012-09-20,DE 102011056955 A;;EP 2012068582 W,2011-12-23,Molding element for joining a part to a fixed window pane of a vehicle,"A molding element for joining a part to a vehicle window pane includes a molding body having a first section configured to be secured to an edge of the window pane and a second section including a latching recess being configured to receive, in an insertion direction, a rib of the part through an engagement opening so as to detachably fasten the part to the molding element. A closure element is formed on the molding body so as to at least partially close off the latching recess.",DEUSSEN MARTIN;;BERGMANN LUTZ;;PLATT WOLFGANG;;ORTMUELLER MICHAEL;;ROTH HARTMUT;;ELKAMET KUNSTSTOFFTECHNIK GMBH,DEUSSEN MARTIN;;BERGMANN LUTZ;;PLATT WOLFGANG;;ORTMUELLER MICHAEL;;ROTH HARTMUT,ELKAMET KUNSTSTOFFTECHNIK GMBH (2014-03-05),https://lens.org/107-064-560-251-039,Granted Patent,yes,19,5,18,18,0,B60J10/34;;B60J10/34;;B60J10/45;;B60J10/18;;B60J10/18;;B60J10/20;;B60J10/20;;B60J10/30;;B60J10/30;;B60J10/34;;B60J10/45;;B60J10/70;;B60J10/70,B62D65/08;;B60J10/00;;B60J10/02,,0,0,,,
8,US,B2,US 9994094 B2,018-799-118-192-268,2018-06-12,2018,US 201414767593 A,2014-03-06,DE 102013204820 A;;EP 2014054294 W,2013-03-19,Profile element for connecting a vehicle window pane to a cover part and profile element assembly,A profile element for connecting a vehicle window pane to a cover part includes a first connecting area for connecting the profile element to the vehicle window pane and a second connecting area for connecting the profile element to the cover part. A sealing element has at least a first segment and a second segment that are moveable relative to each other. The first segment has a first sealing surface configured to be placed against the vehicle window pane and the second segment has a second sealing surface configured to be placed against the cover part such that the sealing element forms a seal between the vehicle window pane and the cover part.,ELKAMET KUNSTSTOFFTECHNIK GMBH;;ELKAMET KUNSTSOFFTECHNIK GMBH,ORTMUELLER MICHAEL,ELKAMET KUNSTSTOFFTECHNIK GMBH (2015-06-19),https://lens.org/018-799-118-192-268,Granted Patent,yes,22,0,18,18,0,B60J10/18;;B60J10/70;;B60J10/70;;B60J10/18;;B60J10/18;;B60J10/20;;B60J10/20;;B60J10/20;;B60J10/34;;B60J10/34;;B60J10/34;;B60J10/45;;B60J10/45;;B60J10/45;;B60J10/70,B60J10/70;;B60J10/00;;B60J10/18;;B60J10/20;;B60J10/34;;B62D65/08,,0,0,,,
9,US,B2,US 10215337 B2,192-452-026-969-988,2019-02-26,2019,US 201313938298 A,2013-07-10,DE 102012013937 A,2012-07-16,Pressure vessel and method for the production of such a vessel,"A pressure vessel having a hollow body wound with a continuous filament, whereby the filament is embedded in a thermoplastic matrix, is provided, as well as a method for producing such a vessel. The method involves: (i) wrapping a hollow body with at least one continuous filament; (ii) impregnating the filament winding with a polymerizable mixture, whereby the wound body is inside a mold that surrounds the wound body; and (iii) polymerizing the polymerizable mixture in order to form a plastic matrix that embeds the filament winding.",ELKAMET KUNSTSTOFFTECHNIK GMBH,FLAMMER EBERHARD,ELKAMET KUNSTSTOFFTECHNIK GMBH (2013-06-05),https://lens.org/192-452-026-969-988,Granted Patent,yes,19,0,4,4,0,B29C39/00;;B29C45/0001;;B29C45/14491;;B29C45/14631;;B29C45/14786;;B29C53/602;;B29C53/602;;B29C67/246;;B29C70/32;;B29C70/32;;B29C70/48;;B29C70/48;;B29C70/547;;B29C70/547;;B29C70/548;;B29C70/548;;B29C2045/14524;;B29C2045/1454;;B29D22/003;;B29K2075/00;;B29K2077/00;;B29K2101/12;;B29K2105/0002;;B29K2105/08;;B29L2031/7156;;B29L2031/7156;;B32B5/02;;F17C1/04;;F17C1/16;;F17C1/16;;F17C1/06;;F17C1/08;;F17C7/00;;F17C7/00;;F17C13/084;;F17C2201/0109;;F17C2201/0109;;F17C2201/0123;;F17C2201/056;;F17C2201/056;;F17C2201/058;;F17C2201/058;;F17C2203/012;;F17C2203/0604;;F17C2203/0604;;F17C2203/0607;;F17C2203/0621;;F17C2203/0621;;F17C2203/066;;F17C2203/066;;F17C2203/0663;;F17C2203/0663;;F17C2203/0665;;F17C2203/0675;;F17C2203/0675;;F17C2205/0169;;F17C2205/018;;F17C2205/0305;;F17C2205/0305;;F17C2209/2127;;F17C2209/2127;;F17C2209/2145;;F17C2209/2145;;F17C2209/232;;F17C2221/012;;F17C2221/012;;F17C2221/033;;F17C2221/033;;F17C2223/0123;;F17C2223/0123;;F17C2223/035;;F17C2223/036;;F17C2223/036;;F17C2260/013;;F17C2270/0171;;F17C2270/0171;;F17C2270/0178;;F17C2270/0178;;F17C2270/0554;;Y02E60/32;;Y02E60/32,B32B3/26;;B29C53/60;;B29C70/32;;B29C70/48;;B29C70/54;;B29D22/00;;B29L31/00;;F17C1/16;;F17C7/00,,0,0,,,
10,US,B2,US 10414259 B2,148-380-159-334-737,2019-09-17,2019,US 201615568484 A,2016-05-09,EP 15171258 A;;EP 2016060281 W,2015-06-09,"Profiled strip, system and method for producing a profiled strip","A profiled strip includes a first connecting area configured to connect to an edge area of a windshield of a motor vehicle, and a second connecting area configured to connect to a component to be adjoined to the windshield. The second connecting area has an open profile along at least one first partial section of a lengthwise extension of the profiled strip, which allows a connecting element of the adjoining component to be inserted into a receiving area delimited by the open profile. The second connecting area has a closed profile along at least one second partial section of the lengthwise extension of the profiled strip, which prevents the insertion of the connecting element into the closed profile.",ELKAMET KUNSTSTOFFTECHNIK GMBH,ORTMUELLER MICHAEL;;LANDECK DAVID,ELKAMET KUNSTSTOFFTECHNIK GMBH (2017-08-21),https://lens.org/148-380-159-334-737,Granted Patent,yes,15,0,11,11,0,B60J10/22;;B60J10/22;;B60J10/22;;B60J10/70;;B60J10/22;;B60J10/30;;B60J10/70;;B60J10/70;;B60J10/70,B60J10/22;;B60J10/70,,0,0,,,
